ID1,ID2,SNP_count_0.001,PRS_0.001,SNP_count_0.01,PRS_0.01,SNP_count_0.05,PRS_0.05,SNP_count_0.1,PRS_0.1,SNP_count_0.2,PRS_0.2,SNP_count_0.5,PRS_0.5
Family15,Father,2,-0.1022671846164249,13,-0.03490574824996455,14,-0.024994778225523293,18,-0.01858518308008404,21,-0.0166626658192745,33,-0.008950832911272093
Family16,Child,2,-0.1022671846164249,13,-0.03584781700952712,14,-0.02586955635940283,18,-0.021225866947301206,21,-0.01819360024054389,33,-0.01039492278789279
Family17,Child,2,-0.1022671846164249,13,-0.029093156840267358,14,-0.01959737191651876,18,-0.014547795323675925,21,-0.01235120398218632,33,-0.007090561012838875
Family17,Mother,2,-0.1022671846164249,13,-0.034364607039320164,14,-0.024492289958496366,18,-0.01807684869806265,21,-0.015451899553188212,33,-0.00977163865338584
Family17,Father,2,-0.1022671846164249,13,-0.031106257690473184,14,-0.021466679848852737,18,-0.016693170079783652,21,-0.016364614753347294,33,-0.009728430208274484
Family18,Child,2,-0.073097423810621,13,-0.03075718054374691,14,-0.021142536784035486,18,-0.017600085912089197,21,-0.014787992608589455,33,-0.008860255680105518
Family18,Mother,2,-0.08030335311401635,13,-0.03234719700509238,14,-0.022618980640999143,18,-0.019713436301127832,21,-0.016897231115252424,33,-0.010232383831760858
Family18,Father,2,-0.1022671846164249,13,-0.03217496439338016,14,-0.022459050358694933,18,-0.01857325116897285,21,-0.015801594706726544,33,-0.009760551363593217
Family19,Child,2,-0.1022671846164249,13,-0.03135783020448606,14,-0.02170028289757899,18,-0.01618339275338944,21,-0.013871479502905232,33,-0.00844628619190043
Family19,Father,2,-0.08030335311401635,13,-0.033504888635019214,14,-0.023693980011645487,18,-0.01874984097691509,21,-0.016921818762915115,33,-0.010285038705643332
Family20,Child,2,-0.1022671846164249,13,-0.03536605241230755,14,-0.025422203519127513,18,-0.018916056740447523,21,-0.015745798852291777,33,-0.008843910577031261
Family20,Father,2,-0.1022671846164249,13,-0.04605495744345825,14,-0.03534761533376744,18,-0.027535674458080753,21,-0.023611298375701216,33,-0.01423444494676712
Family21,Child,2,-0.05113359230821245,13,-0.022860849374900558,14,-0.017519080416257198,18,-0.014846994264526372,21,-0.012343115391804623,33,-0.006959079072017386
Family21,Mother,2,-0.1022671846164249,13,-0.03733725658570024,14,-0.027252607394420713,18,-0.019636352751789217,21,-0.01782821322041816,33,-0.010113509392009659
Family21,Father,2,-0.1022671846164249,13,-0.04208338786795854,14,-0.031659729299374856,18,-0.02275167076805486,21,-0.020148856604375653,33,-0.011655465286880603
Family22,Child,2,-0.08030335311401635,13,-0.02360170135495694,14,-0.01820701439773812,18,-0.014366259115315376,21,-0.012970652599373808,33,-0.008286648627568427
Family22,Mother,2,-0.1022671846164249,13,-0.02517359882329067,14,-0.01948119091816906,18,-0.016210917047422613,21,-0.014721956721784826,33,-0.008335536777748167
Family22,Father,2,-0.08030335311401635,13,-0.028104827427150012,14,-0.01867963746148122,18,-0.012674974753705541,21,-0.00920511874227922,33,-0.005057533977554244
Family23,Father,2,-0.1022671846164249,13,-0.030470546776778587,14,-0.02458522800371537,18,-0.017366791045764593,21,-0.014843278708361303,33,-0.008559923262167509
Family23,Mother,2,-0.08030335311401635,13,-0.02470598684966123,14,-0.015523571210955928,18,-0.012279136636707006,21,-0.011087314401489369,33,-0.006480848841856294
Family24,Child,2,-0.1022671846164249,13,-0.03611385538403168,14,-0.026116591992871346,18,-0.020311336648682364,21,-0.017409717127442027,33,-0.01009276152754466
